"date","ethanol_usd_gal","ddgs_usd_ton","cornoil_usd_lb","corn_usd","ethanol_rev","ddgs_rev","cornoil_rev","crush_margin"
2017-03-01,1.449,137.3,0.436,3.62782608695652,4.0572,1.0984,0.2616,1.78937391304348
2017-04-01,1.451,138.1,0.437,3.63013157894737,4.0628,1.1048,0.2622,1.79966842105263
2017-05-01,1.451,140.2,0.438,3.66613636363636,4.0628,1.1216,0.2628,1.78106363636364
2017-06-01,1.455,140.5,0.438,3.72284090909091,4.074,1.124,0.2628,1.73795909090909
2017-07-01,1.456,140.4,0.44,3.776,4.0768,1.1232,0.264,1.688
2017-08-01,1.444,137,0.435,3.53119565217391,4.0432,1.096,0.261,1.86900434782609
2017-09-01,1.44,135.8,0.434,3.4795,4.032,1.0864,0.2604,1.8993
2017-10-01,1.435,135.8,0.435,3.49386363636364,4.018,1.0864,0.261,1.87153636363636
2017-11-01,1.434,135.5,0.434,3.43178571428571,4.0152,1.084,0.2604,1.92781428571429
2017-12-01,1.429,135.9,0.435,3.4455,4.0012,1.0872,0.261,1.9039
2018-01-01,1.437,137.5,0.437,3.5272619047619,4.0236,1.1,0.2622,1.8585380952381
2018-02-01,1.438,138.9,0.439,3.65921052631579,4.0264,1.1112,0.2634,1.74178947368421
2018-03-01,1.443,141.7,0.442,3.79607142857143,4.0404,1.1336,0.2652,1.64312857142857
2018-04-01,1.449,142,0.443,3.85488095238095,4.0572,1.136,0.2658,1.60411904761905
2018-05-01,1.465,145.8,0.445,3.98227272727273,4.102,1.1664,0.267,1.55312727272727
2018-06-01,1.436,142.9,0.439,3.64869047619048,4.0208,1.1432,0.2634,1.77870952380952
2018-07-01,1.422,140.4,0.436,3.49154761904762,3.9816,1.1232,0.2616,1.87485238095238
2018-08-01,1.428,140.4,0.438,3.58336956521739,3.9984,1.1232,0.2628,1.80103043478261
2018-09-01,1.415,140.3,0.437,3.52342105263158,3.962,1.1224,0.2622,1.82317894736842
2018-10-01,1.425,141.7,0.44,3.68152173913043,3.99,1.1336,0.264,1.70607826086957
2018-11-01,1.42,142.1,0.44,3.65797619047619,3.976,1.1368,0.264,1.71882380952381
2018-12-01,1.434,143.5,0.441,3.75338235294118,4.0152,1.148,0.2646,1.67441764705882
2019-01-01,1.439,143.8,0.442,3.78690476190476,4.0292,1.1504,0.2652,1.65789523809524
2019-02-01,1.425,142.6,0.441,3.73789473684211,3.99,1.1408,0.2646,1.65750526315789
2019-03-01,1.421,140.4,0.44,3.66630952380952,3.9788,1.1232,0.264,1.69969047619048
2019-04-01,1.411,139.1,0.439,3.57702380952381,3.9508,1.1128,0.2634,1.74997619047619
2019-05-01,1.427,142.2,0.443,3.79761363636364,3.9956,1.1376,0.2658,1.60138636363636
2019-06-01,1.479,148.2,0.452,4.35225,4.1412,1.1856,0.2712,1.24575
2019-07-01,1.477,146.2,0.451,4.27045454545455,4.1356,1.1696,0.2706,1.30534545454545
2019-08-01,1.437,141,0.442,3.76238636363636,4.0236,1.128,0.2652,1.65441363636364
2019-09-01,1.421,139.9,0.44,3.621625,3.9788,1.1192,0.264,1.740375
2019-10-01,1.443,142,0.444,3.89771739130435,4.0404,1.136,0.2664,1.54508260869565
2019-11-01,1.431,140.5,0.441,3.73625,4.0068,1.124,0.2646,1.65915
2019-12-01,1.44,141,0.442,3.77916666666667,4.032,1.128,0.2652,1.64603333333333
2020-01-01,1.444,140.8,0.443,3.85738095238095,4.0432,1.1264,0.2658,1.57801904761905
2020-02-01,1.436,140.2,0.442,3.77447368421053,4.0208,1.1216,0.2652,1.63312631578947
2020-03-01,1.414,138.9,0.438,3.59931818181818,3.9592,1.1112,0.2628,1.73388181818182
2020-04-01,1.374,135.7,0.432,3.20904761904762,3.8472,1.0856,0.2592,1.98295238095238
2020-05-01,1.376,136.4,0.431,3.187,3.8528,1.0912,0.2586,2.0156
2020-06-01,1.391,136.1,0.433,3.27613636363636,3.8948,1.0888,0.2598,1.96726363636364
2020-07-01,1.395,135.8,0.433,3.32068181818182,3.906,1.0864,0.2598,1.93151818181818
2020-08-01,1.394,135.5,0.432,3.25154761904762,3.9032,1.084,0.2592,1.99485238095238
2020-09-01,1.429,139.9,0.438,3.62380952380952,4.0012,1.1192,0.2628,1.75939047619048
2020-10-01,1.457,144.2,0.444,3.98897727272727,4.0796,1.1536,0.2664,1.51062272727273
2020-11-01,1.474,149.4,0.447,4.155875,4.1272,1.1952,0.2682,1.434725
2020-12-01,1.5,152,0.45,4.35465909090909,4.2,1.216,0.27,1.33134090909091
2021-01-01,1.57,161.5,0.464,5.15394736842105,4.396,1.292,0.2784,0.81245263157895
2021-02-01,1.609,166,0.471,5.49973684210526,4.5052,1.328,0.2826,0.61606315789474
2021-03-01,1.597,166.9,0.472,5.52804347826087,4.4716,1.3352,0.2832,0.56195652173913
2021-04-01,1.657,173.3,0.483,6.16071428571429,4.6396,1.3864,0.2898,0.155085714285709
2021-05-01,1.729,182.5,0.497,6.973875,4.8412,1.46,0.2982,-0.374475
2021-06-01,1.705,179.2,0.492,6.72409090909091,4.774,1.4336,0.2952,-0.221290909090909
2021-07-01,1.647,171.9,0.48,6.05083333333333,4.6116,1.3752,0.288,0.223966666666671
2021-08-01,1.59,165.9,0.471,5.52227272727273,4.452,1.3272,0.2826,0.53952727272727
2021-09-01,1.559,162.4,0.465,5.18595238095238,4.3652,1.2992,0.279,0.757447619047619
2021-10-01,1.577,166.4,0.468,5.36619047619048,4.4156,1.3312,0.2808,0.661409523809519
2021-11-01,1.615,168.3,0.474,5.70892857142857,4.522,1.3464,0.2844,0.44387142857143
2021-12-01,1.63,171.1,0.478,5.91886363636364,4.564,1.3688,0.2868,0.30073636363636
2022-01-01,1.641,171.5,0.482,6.09375,4.5948,1.372,0.2892,0.162249999999999
2022-02-01,1.675,175.4,0.489,6.50368421052632,4.69,1.4032,0.2934,-0.11708421052632
2022-03-01,1.765,186.6,0.506,7.47423913043478,4.942,1.4928,0.3036,-0.735839130434781
2022-04-01,1.801,190.8,0.513,7.860625,5.0428,1.5264,0.3078,-0.983624999999999
2022-05-01,1.8,190.1,0.513,7.89011904761905,5.04,1.5208,0.3078,-1.02151904761905
2022-06-01,1.776,186.2,0.508,7.58404761904762,4.9728,1.4896,0.3048,-0.81684761904762
2022-07-01,1.693,176.8,0.491,6.6315,4.7404,1.4144,0.2946,-0.1821
2022-08-01,1.671,172.9,0.486,6.32076086956522,4.6788,1.3832,0.2916,0.0328391304347795
2022-09-01,1.711,178.3,0.494,6.81654761904762,4.7908,1.4264,0.2964,-0.30294761904762
2022-10-01,1.712,178.8,0.495,6.85547619047619,4.7936,1.4304,0.297,-0.33447619047619
2022-11-01,1.695,176.3,0.493,6.68238095238095,4.746,1.4104,0.2958,-0.230180952380951
2022-12-01,1.672,176.4,0.49,6.50857142857143,4.6816,1.4112,0.294,-0.121771428571431
2023-01-01,1.691,179.1,0.494,6.703875,4.7348,1.4328,0.2964,-0.239875
2023-02-01,1.693,177.3,0.494,6.71092105263158,4.7404,1.4184,0.2964,-0.255721052631579
2023-03-01,1.663,173.9,0.489,6.37391304347826,4.6564,1.3912,0.2934,-0.0329130434782607
2023-04-01,1.677,175.2,0.492,6.54881578947368,4.6956,1.4016,0.2952,-0.156415789473679
2023-05-01,1.629,171.1,0.485,6.08909090909091,4.5612,1.3688,0.291,0.13190909090909
2023-06-01,1.632,171.1,0.485,6.15166666666667,4.5696,1.3688,0.291,0.0777333333333301
2023-07-01,1.572,163.9,0.473,5.48625,4.4016,1.3112,0.2838,0.510350000000001
2023-08-01,1.504,156.7,0.46,4.75847826086957,4.2112,1.2536,0.276,0.98232173913043
2023-09-01,1.501,157.3,0.459,4.737875,4.2028,1.2584,0.2754,0.998724999999999
2023-10-01,1.516,157.7,0.461,4.88431818181818,4.2448,1.2616,0.2766,0.89868181818182
2023-11-01,1.509,155.3,0.458,4.68285714285714,4.2252,1.2424,0.2748,1.05954285714286
2023-12-01,1.51,155,0.458,4.689375,4.228,1.24,0.2748,1.053425
2024-01-01,1.497,152.6,0.455,4.51845238095238,4.1916,1.2208,0.273,1.16694761904762
2024-02-01,1.471,151.2,0.451,4.23375,4.1188,1.2096,0.2706,1.36525
2024-03-01,1.466,152.2,0.452,4.295,4.1048,1.2176,0.2712,1.2986
2024-04-01,1.471,151.6,0.453,4.34625,4.1188,1.2128,0.2718,1.25715
2024-05-01,1.488,154.5,0.456,4.54659090909091,4.1664,1.236,0.2736,1.12940909090909
2024-06-01,1.488,154.8,0.453,4.39394736842105,4.1664,1.2384,0.2718,1.28265263157895
2024-07-01,1.451,151.4,0.446,3.98261363636364,4.0628,1.2112,0.2676,1.55898636363636
2024-08-01,1.434,147.8,0.443,3.76670454545455,4.0152,1.1824,0.2658,1.69669545454545
2024-09-01,1.455,149.8,0.447,4.006,4.074,1.1984,0.2682,1.5346
2024-10-01,1.462,152.6,0.45,4.16119565217391,4.0936,1.2208,0.27,1.42320434782609
2024-11-01,1.475,152.8,0.451,4.242375,4.13,1.2224,0.2706,1.380625
2024-12-01,1.493,154.8,0.454,4.39464285714286,4.1804,1.2384,0.2724,1.29655714285714
2025-01-01,1.528,159.3,0.46,4.75333333333333,4.2784,1.2744,0.276,1.07546666666667
2025-02-01,1.534,159.8,0.463,4.87486842105263,4.2952,1.2784,0.2778,0.97653157894737
2025-03-01,1.512,156.2,0.456,4.53964285714286,4.2336,1.2496,0.2736,1.21715714285714
2025-04-01,1.522,155.3,0.459,4.73309523809524,4.2616,1.2424,0.2754,1.04630476190476
2025-05-01,1.504,151.8,0.455,4.49273809523809,4.2112,1.2144,0.273,1.20586190476191
2025-06-01,1.499,149.7,0.452,4.30575,4.1972,1.1976,0.2712,1.36025
2025-07-01,1.472,145.9,0.447,4.06079545454545,4.1216,1.1672,0.2682,1.49620454545455
2025-08-01,1.45,145,0.444,3.83571428571429,4.06,1.16,0.2664,1.65068571428571
2025-09-01,1.476,146.9,0.448,4.13488095238095,4.1328,1.1752,0.2688,1.44191904761905
2025-10-01,1.481,147.4,0.45,4.22195652173913,4.1468,1.1792,0.27,1.37404347826087
2025-11-01,1.481,148.5,0.452,4.31236842105263,4.1468,1.188,0.2712,1.29363157894737
2025-12-01,1.489,150.7,0.453,4.39943181818182,4.1692,1.2056,0.2718,1.24716818181818
2026-01-01,1.475,148.5,0.452,4.30825,4.13,1.188,0.2712,1.28095
2026-02-01,1.477,149.4,0.451,4.29539473684211,4.1356,1.1952,0.2706,1.30600526315789
2026-03-01,1.491,151.8,0.455,4.52034090909091,4.1748,1.2144,0.273,1.14185909090909
2026-04-01,1.5,150.9,0.455,4.52440476190476,4.2,1.2072,0.273,1.15579523809524
2026-05-01,1.504,152.3,0.457,4.6135,4.2112,1.2184,0.2742,1.0903
2026-06-01,1.464,147.9,0.449,4.18,4.0992,1.1832,0.2694,1.3718
2026-07-01,1.492,150.2,0.454,4.454375,4.1776,1.2016,0.2724,1.197225
