"date","ethanol_usd_gal","ddgs_usd_ton","cornoil_usd_lb","corn_usd"
2018-07-01,1.422,140.4,0.436,3.49154761904762
2018-08-01,1.428,140.4,0.438,3.58336956521739
2018-09-01,1.415,140.3,0.437,3.52342105263158
2018-10-01,1.425,141.7,0.44,3.68152173913043
2018-11-01,1.42,142.1,0.44,3.65797619047619
2018-12-01,1.434,143.5,0.441,3.75338235294118
2019-01-01,1.439,143.8,0.442,3.78690476190476
2019-02-01,1.425,142.6,0.441,3.73789473684211
2019-03-01,1.421,140.4,0.44,3.66630952380952
2019-04-01,1.411,139.1,0.439,3.57702380952381
2019-05-01,1.427,142.2,0.443,3.79761363636364
2019-06-01,1.479,148.2,0.452,4.35225
2019-07-01,1.477,146.2,0.451,4.27045454545455
2019-08-01,1.437,141,0.442,3.76238636363636
2019-09-01,1.421,139.9,0.44,3.621625
2019-10-01,1.443,142,0.444,3.89771739130435
2019-11-01,1.431,140.5,0.441,3.73625
2019-12-01,1.44,141,0.442,3.77916666666667
2020-01-01,1.444,140.8,0.443,3.85738095238095
2020-02-01,1.436,140.2,0.442,3.77447368421053
2020-03-01,1.414,138.9,0.438,3.59931818181818
2020-04-01,1.374,135.7,0.432,3.20904761904762
2020-05-01,1.376,136.4,0.431,3.187
2020-06-01,1.391,136.1,0.433,3.27613636363636
2020-07-01,1.395,135.8,0.433,3.32068181818182
2020-08-01,1.394,135.5,0.432,3.25154761904762
2020-09-01,1.429,139.9,0.438,3.62380952380952
2020-10-01,1.457,144.2,0.444,3.98897727272727
2020-11-01,1.474,149.4,0.447,4.155875
2020-12-01,1.5,152,0.45,4.35465909090909
2021-01-01,1.57,161.5,0.464,5.15394736842105
2021-02-01,1.609,166,0.471,5.49973684210526
2021-03-01,1.597,166.9,0.472,5.52804347826087
2021-04-01,1.657,173.3,0.483,6.16071428571429
2021-05-01,1.729,182.5,0.497,6.973875
2021-06-01,1.705,179.2,0.492,6.72409090909091
2021-07-01,1.647,171.9,0.48,6.05083333333333
2021-08-01,1.59,165.9,0.471,5.52227272727273
2021-09-01,1.559,162.4,0.465,5.18595238095238
2021-10-01,1.577,166.4,0.468,5.36619047619048
2021-11-01,1.615,168.3,0.474,5.70892857142857
2021-12-01,1.63,171.1,0.478,5.91886363636364
2022-01-01,1.641,171.5,0.482,6.09375
2022-02-01,1.675,175.4,0.489,6.50368421052632
2022-03-01,1.765,186.6,0.506,7.47423913043478
2022-04-01,1.801,190.8,0.513,7.860625
2022-05-01,1.8,190.1,0.513,7.89011904761905
2022-06-01,1.776,186.2,0.508,7.58404761904762
2022-07-01,1.693,176.8,0.491,6.6315
2022-08-01,1.671,172.9,0.486,6.32076086956522
2022-09-01,1.711,178.3,0.494,6.81654761904762
2022-10-01,1.712,178.8,0.495,6.85547619047619
2022-11-01,1.695,176.3,0.493,6.68238095238095
2022-12-01,1.672,176.4,0.49,6.50857142857143
2023-01-01,1.691,179.1,0.494,6.703875
2023-02-01,1.693,177.3,0.494,6.71092105263158
2023-03-01,1.663,173.9,0.489,6.37391304347826
2023-04-01,1.677,175.2,0.492,6.54881578947368
2023-05-01,1.629,171.1,0.485,6.08909090909091
2023-06-01,1.632,171.1,0.485,6.15166666666667
2023-07-01,1.572,163.9,0.473,5.48625
2023-08-01,1.504,156.7,0.46,4.75847826086957
2023-09-01,1.501,157.3,0.459,4.737875
2023-10-01,1.516,157.7,0.461,4.88431818181818
2023-11-01,1.509,155.3,0.458,4.68285714285714
2023-12-01,1.51,155,0.458,4.689375
2024-01-01,1.497,152.6,0.455,4.51845238095238
2024-02-01,1.471,151.2,0.451,4.23375
2024-03-01,1.466,152.2,0.452,4.295
2024-04-01,1.471,151.6,0.453,4.34625
2024-05-01,1.488,154.5,0.456,4.54659090909091
2024-06-01,1.488,154.8,0.453,4.39394736842105
2024-07-01,1.451,151.4,0.446,3.98261363636364
2024-08-01,1.434,147.8,0.443,3.76670454545455
2024-09-01,1.455,149.8,0.447,4.006
2024-10-01,1.462,152.6,0.45,4.16119565217391
2024-11-01,1.475,152.8,0.451,4.242375
2024-12-01,1.493,154.8,0.454,4.39464285714286
2025-01-01,1.528,159.3,0.46,4.75333333333333
2025-02-01,1.534,159.8,0.463,4.87486842105263
2025-03-01,1.512,156.2,0.456,4.53964285714286
2025-04-01,1.522,155.3,0.459,4.73309523809524
2025-05-01,1.504,151.8,0.455,4.49273809523809
2025-06-01,1.499,149.7,0.452,4.30575
2025-07-01,1.472,145.9,0.447,4.06079545454545
2025-08-01,1.45,145,0.444,3.83571428571429
2025-09-01,1.476,146.9,0.448,4.13488095238095
2025-10-01,1.481,147.4,0.45,4.22195652173913
2025-11-01,1.481,148.5,0.452,4.31236842105263
2025-12-01,1.489,150.7,0.453,4.39943181818182
2026-01-01,1.475,148.5,0.452,4.30825
2026-02-01,1.477,149.4,0.451,4.29539473684211
2026-03-01,1.491,151.8,0.455,4.52034090909091
2026-04-01,1.5,150.9,0.455,4.52440476190476
2026-05-01,1.504,152.3,0.457,4.6135
2026-06-01,1.464,147.9,0.449,4.18
2026-07-01,1.492,150.2,0.454,4.454375
