"date","corn_cents","corn_usd"
2016-02-04,368.5,3.685
2016-02-05,365.75,3.6575
2016-02-08,362.25,3.6225
2016-02-09,361,3.61
2016-02-10,360.25,3.6025
2016-02-11,360.25,3.6025
2016-02-12,358.75,3.5875
2016-02-16,363,3.63
2016-02-17,367.25,3.6725
2016-02-18,365.5,3.655
2016-02-19,365.5,3.655
2016-02-22,367.5,3.675
2016-02-23,362,3.62
2016-02-24,359.75,3.5975
2016-02-25,355.5,3.555
2016-02-26,354.5,3.545
2016-02-29,353.5,3.535
2016-03-01,353.75,3.5375
2016-03-02,354.5,3.545
2016-03-03,353.75,3.5375
2016-03-04,354.5,3.545
2016-03-07,355,3.55
2016-03-08,358.75,3.5875
2016-03-09,359,3.59
2016-03-10,362.5,3.625
2016-03-11,366,3.66
2016-03-14,366.75,3.6675
2016-03-15,368.5,3.685
2016-03-16,368.25,3.6825
2016-03-17,368.5,3.685
2016-03-18,367,3.67
2016-03-21,369.5,3.695
2016-03-22,370,3.7
2016-03-23,368.5,3.685
2016-03-24,370,3.7
2016-03-28,370.5,3.705
2016-03-29,373,3.73
2016-03-30,367,3.67
2016-03-31,351.5,3.515
2016-04-01,354,3.54
2016-04-04,354.5,3.545
2016-04-05,356.75,3.5675
2016-04-06,358,3.58
2016-04-07,361.5,3.615
2016-04-08,362.25,3.6225
2016-04-11,356.75,3.5675
2016-04-12,362.75,3.6275
2016-04-13,373.5,3.735
2016-04-14,374,3.74
2016-04-15,378.5,3.785
2016-04-18,381,3.81
2016-04-19,384.5,3.845
2016-04-20,394.75,3.9475
2016-04-21,384.5,3.845
2016-04-22,371.75,3.7175
2016-04-25,377,3.77
2016-04-26,382.25,3.8225
2016-04-27,380.75,3.8075
2016-04-28,387,3.87
2016-04-29,390.25,3.9025
2016-05-02,390.25,3.9025
2016-05-03,378.25,3.7825
2016-05-04,373.25,3.7325
2016-05-05,371.75,3.7175
2016-05-06,376,3.76
2016-05-09,367.75,3.6775
2016-05-10,378.5,3.785
2016-05-11,374,3.74
2016-05-12,385.25,3.8525
2016-05-13,382,3.82
2016-05-16,394,3.94
2016-05-17,397,3.97
2016-05-18,399.5,3.995
2016-05-19,390,3.9
2016-05-20,394.5,3.945
2016-05-23,397.75,3.9775
2016-05-24,397.5,3.975
2016-05-25,404.75,4.0475
2016-05-26,408.25,4.0825
2016-05-27,412.75,4.1275
2016-05-31,404.75,4.0475
2016-06-01,413.75,4.1375
2016-06-02,415.25,4.1525
2016-06-03,418.25,4.1825
2016-06-06,427.25,4.2725
2016-06-07,427.75,4.2775
2016-06-08,431.25,4.3125
2016-06-09,426.5,4.265
2016-06-10,423,4.23
2016-06-13,430,4.3
2016-06-14,436.5,4.365
2016-06-15,429,4.29
2016-06-16,425.25,4.2525
2016-06-17,437.75,4.3775
2016-06-20,421.25,4.2125
2016-06-21,396.25,3.9625
2016-06-22,393,3.93
2016-06-23,387.25,3.8725
2016-06-24,384.5,3.845
2016-06-27,385.25,3.8525
2016-06-28,385.25,3.8525
2016-06-29,372.75,3.7275
2016-06-30,358.75,3.5875
2016-07-01,353,3.53
2016-07-05,344,3.44
2016-07-06,335.75,3.3575
2016-07-07,335.5,3.355
2016-07-08,349.75,3.4975
2016-07-11,343.75,3.4375
2016-07-12,349.75,3.4975
2016-07-13,365.75,3.6575
2016-07-14,362.25,3.6225
2016-07-15,352.25,3.5225
2016-07-18,357,3.57
2016-07-19,341.75,3.4175
2016-07-20,337.5,3.375
2016-07-21,334.25,3.3425
2016-07-22,335,3.35
2016-07-25,334.75,3.3475
2016-07-26,332.5,3.325
2016-07-27,335.75,3.3575
2016-07-28,331.25,3.3125
2016-07-29,334.5,3.345
2016-08-01,325.75,3.2575
2016-08-02,324.25,3.2425
2016-08-03,325,3.25
2016-08-04,320.75,3.2075
2016-08-05,324.25,3.2425
2016-08-08,325.25,3.2525
2016-08-09,322.25,3.2225
2016-08-10,322.5,3.225
2016-08-11,321,3.21
2016-08-12,322.25,3.2225
2016-08-15,326.5,3.265
2016-08-16,327.5,3.275
2016-08-17,330.25,3.3025
2016-08-18,332,3.32
2016-08-19,334.25,3.3425
2016-08-22,333.25,3.3325
2016-08-23,328.5,3.285
2016-08-24,327.5,3.275
2016-08-25,323.5,3.235
2016-08-26,316.25,3.1625
2016-08-29,311.75,3.1175
2016-08-30,304,3.04
2016-08-31,301.5,3.015
2016-09-01,311,3.11
2016-09-02,316.5,3.165
2016-09-06,316.75,3.1675
2016-09-07,321,3.21
2016-09-08,327,3.27
2016-09-09,330,3.3
2016-09-12,329.25,3.2925
2016-09-13,319.25,3.1925
2016-09-14,322.25,3.2225
2016-09-15,330,3.3
2016-09-16,337,3.37
2016-09-19,337.25,3.3725
2016-09-20,340.5,3.405
2016-09-21,340,3.4
2016-09-22,336.75,3.3675
2016-09-23,336.5,3.365
2016-09-26,329,3.29
2016-09-27,331.75,3.3175
2016-09-28,329.25,3.2925
2016-09-29,329.25,3.2925
2016-09-30,336.75,3.3675
2016-10-03,346,3.46
2016-10-04,348.25,3.4825
2016-10-05,347.75,3.4775
2016-10-06,340.5,3.405
2016-10-07,339.75,3.3975
2016-10-11,345.5,3.455
2016-10-12,337,3.37
2016-10-13,349.5,3.495
2016-10-14,354.25,3.5425
2016-10-17,354,3.54
2016-10-18,353.75,3.5375
2016-10-19,357.5,3.575
2016-10-20,351,3.51
2016-10-21,352.5,3.525
2016-10-24,348.25,3.4825
2016-10-25,349.25,3.4925
2016-10-26,354,3.54
2016-10-27,357.5,3.575
2016-10-28,355,3.55
2016-10-31,354.75,3.5475
2016-11-01,349,3.49
2016-11-02,346.25,3.4625
2016-11-03,348,3.48
2016-11-04,348.75,3.4875
2016-11-07,346.25,3.4625
2016-11-08,354.25,3.5425
2016-11-09,340.75,3.4075
2016-11-10,343.5,3.435
2016-11-14,337.25,3.3725
2016-11-15,341.5,3.415
2016-11-16,338.5,3.385
2016-11-17,342,3.42
2016-11-18,345.5,3.455
2016-11-21,349.75,3.4975
2016-11-22,351,3.51
2016-11-23,350.75,3.5075
2016-11-25,349.25,3.4925
2016-11-28,348.5,3.485
2016-11-29,336.75,3.3675
2016-11-30,336.75,3.3675
2016-12-01,331.75,3.3175
2016-12-02,337.5,3.375
2016-12-05,349.5,3.495
2016-12-06,351,3.51
2016-12-07,350.5,3.505
2016-12-08,346.5,3.465
2016-12-09,352.5,3.525
2016-12-12,354.5,3.545
2016-12-13,356.25,3.5625
2016-12-14,351.75,3.5175
2016-12-15,356.5,3.565
2016-12-16,356.25,3.5625
2016-12-19,353.25,3.5325
2016-12-20,350.25,3.5025
2016-12-21,347.25,3.4725
2016-12-22,347.25,3.4725
2016-12-23,345.75,3.4575
2016-12-27,355,3.55
2016-12-28,348.25,3.4825
2016-12-29,349.75,3.4975
2016-12-30,352,3.52
2017-01-03,355.75,3.5575
2017-01-04,359.75,3.5975
2017-01-05,361.25,3.6125
2017-01-06,358,3.58
2017-01-09,360,3.6
2017-01-10,358.25,3.5825
2017-01-11,357.25,3.5725
2017-01-12,358.25,3.5825
2017-01-13,358.5,3.585
2017-01-17,365.5,3.655
2017-01-18,365,3.65
2017-01-19,366.25,3.6625
2017-01-20,369.75,3.6975
2017-01-23,369.5,3.695
2017-01-24,363.25,3.6325
2017-01-25,366.25,3.6625
2017-01-26,363.75,3.6375
2017-01-27,362.5,3.625
2017-01-30,357.75,3.5775
2017-01-31,359.75,3.5975
2017-02-01,368.25,3.6825
2017-02-02,367.5,3.675
2017-02-03,365.25,3.6525
2017-02-06,363.75,3.6375
2017-02-07,368.5,3.685
2017-02-08,370.75,3.7075
2017-02-09,369.5,3.695
2017-02-10,374.5,3.745
2017-02-13,375.5,3.755
2017-02-14,374.25,3.7425
2017-02-15,378.75,3.7875
2017-02-16,373.5,3.735
2017-02-17,368.25,3.6825
2017-02-21,369.25,3.6925
2017-02-22,371,3.71
2017-02-23,365.5,3.655
2017-02-24,364,3.64
2017-02-27,360.25,3.6025
2017-02-28,366.75,3.6675
2017-03-01,375.75,3.7575
2017-03-02,372.75,3.7275
2017-03-03,374.75,3.7475
2017-03-06,372.75,3.7275
2017-03-07,369.5,3.695
2017-03-08,365.25,3.6525
2017-03-09,359.75,3.5975
2017-03-10,358,3.58
2017-03-13,354.5,3.545
2017-03-14,353.75,3.5375
2017-03-15,363.5,3.635
2017-03-16,366,3.66
2017-03-17,367.5,3.675
2017-03-20,363.5,3.635
2017-03-21,361.25,3.6125
2017-03-22,358.75,3.5875
2017-03-23,356.75,3.5675
2017-03-24,356.25,3.5625
2017-03-27,355.75,3.5575
2017-03-28,357.75,3.5775
2017-03-29,358.5,3.585
2017-03-30,357.5,3.575
2017-03-31,364.25,3.6425
2017-04-03,367.75,3.6775
2017-04-04,363,3.63
2017-04-05,364.75,3.6475
2017-04-06,360.75,3.6075
2017-04-07,359.5,3.595
2017-04-10,367,3.67
2017-04-11,366.5,3.665
2017-04-12,369,3.69
2017-04-13,371,3.71
2017-04-17,366.5,3.665
2017-04-18,361.75,3.6175
2017-04-19,361.75,3.6175
2017-04-20,357.75,3.5775
2017-04-21,357,3.57
2017-04-24,359.25,3.5925
2017-04-25,365,3.65
2017-04-26,359,3.59
2017-04-27,362,3.62
2017-04-28,358,3.58
2017-05-01,369.25,3.6925
2017-05-02,364,3.64
2017-05-03,366.25,3.6625
2017-05-04,358,3.58
2017-05-05,361.75,3.6175
2017-05-08,356.75,3.5675
2017-05-09,358.25,3.5825
2017-05-10,365.25,3.6525
2017-05-11,360.5,3.605
2017-05-12,361.75,3.6175
2017-05-15,367.75,3.6775
2017-05-16,367.75,3.6775
2017-05-17,371.5,3.715
2017-05-18,366,3.66
2017-05-19,372.5,3.725
2017-05-22,375,3.75
2017-05-23,369.5,3.695
2017-05-24,371.25,3.7125
2017-05-25,369.25,3.6925
2017-05-26,374.25,3.7425
2017-05-30,367,3.67
2017-05-31,372,3.72
2017-06-01,370.5,3.705
2017-06-02,372.75,3.7275
2017-06-05,373,3.73
2017-06-06,377.25,3.7725
2017-06-07,384.75,3.8475
2017-06-08,385.75,3.8575
2017-06-09,387.75,3.8775
2017-06-12,377.25,3.7725
2017-06-13,381,3.81
2017-06-14,377,3.77
2017-06-15,379.5,3.795
2017-06-16,384,3.84
2017-06-19,375.25,3.7525
2017-06-20,370,3.7
2017-06-21,368.75,3.6875
2017-06-22,362.75,3.6275
2017-06-23,357.75,3.5775
2017-06-26,359,3.59
2017-06-27,359.25,3.5925
2017-06-28,356.75,3.5675
2017-06-29,359.75,3.5975
2017-06-30,370.5,3.705
2017-07-03,378,3.78
2017-07-05,381.75,3.8175
2017-07-06,380.25,3.8025
2017-07-07,382.25,3.8225
2017-07-10,391.75,3.9175
2017-07-11,392.25,3.9225
2017-07-12,376.25,3.7625
2017-07-13,361,3.61
2017-07-14,365.25,3.6525
2017-07-17,375,3.75
2017-07-18,377,3.77
2017-07-19,382.5,3.825
2017-07-20,391,3.91
2017-07-21,379.75,3.7975
2017-07-24,377.25,3.7725
2017-07-25,368.75,3.6875
2017-07-26,372.75,3.7275
2017-07-27,374.25,3.7425
2017-07-28,374.25,3.7425
2017-07-31,370.75,3.7075
2017-08-01,362.5,3.625
2017-08-02,365,3.65
2017-08-03,363.5,3.635
2017-08-04,366.5,3.665
2017-08-07,372.25,3.7225
2017-08-08,369.75,3.6975
2017-08-09,372.25,3.7225
2017-08-10,357.25,3.5725
2017-08-11,360.75,3.6075
2017-08-14,362.75,3.6275
2017-08-15,355.25,3.5525
2017-08-16,352.5,3.525
2017-08-17,350.5,3.505
2017-08-18,352,3.52
2017-08-21,349,3.49
2017-08-22,346,3.46
2017-08-23,342,3.42
2017-08-24,342,3.42
2017-08-25,338.75,3.3875
2017-08-28,336,3.36
2017-08-29,333.5,3.335
2017-08-30,329.5,3.295
2017-08-31,342.25,3.4225
2017-09-01,340,3.4
2017-09-05,344.25,3.4425
2017-09-06,347,3.47
2017-09-07,341.75,3.4175
2017-09-08,344.25,3.4425
2017-09-11,345.5,3.455
2017-09-12,340,3.4
2017-09-13,338.5,3.385
2017-09-14,341.75,3.4175
2017-09-15,354.75,3.5475
2017-09-18,351.5,3.515
2017-09-19,348.25,3.4825
2017-09-20,350,3.5
2017-09-21,350.25,3.5025
2017-09-22,353.5,3.535
2017-09-25,353.75,3.5375
2017-09-26,352.25,3.5225
2017-09-27,354,3.54
2017-09-28,352.5,3.525
2017-09-29,355.25,3.5525
2017-10-02,351.5,3.515
2017-10-03,349.5,3.495
2017-10-04,348.25,3.4825
2017-10-05,349.5,3.495
2017-10-06,350,3.5
2017-10-09,349.5,3.495
2017-10-10,349.25,3.4925
2017-10-11,346,3.46
2017-10-12,349,3.49
2017-10-13,352.75,3.5275
2017-10-16,350.5,3.505
2017-10-17,350,3.5
2017-10-18,348.5,3.485
2017-10-19,349,3.49
2017-10-20,344.5,3.445
2017-10-23,351.25,3.5125
2017-10-24,352.75,3.5275
2017-10-25,351,3.51
2017-10-26,350.5,3.505
2017-10-27,348.75,3.4875
2017-10-30,348.75,3.4875
2017-10-31,345.75,3.4575
2017-11-01,348.25,3.4825
2017-11-02,350.5,3.505
2017-11-03,348.25,3.4825
2017-11-06,348,3.48
2017-11-07,347.75,3.4775
2017-11-08,348.25,3.4825
2017-11-09,341.5,3.415
2017-11-10,343.5,3.435
2017-11-13,342.25,3.4225
2017-11-14,337.5,3.375
2017-11-15,338.25,3.3825
2017-11-16,336.5,3.365
2017-11-17,343,3.43
2017-11-20,345,3.45
2017-11-21,345,3.45
2017-11-22,345.25,3.4525
2017-11-24,342.25,3.4225
2017-11-27,338.75,3.3875
2017-11-28,336.25,3.3625
2017-11-29,339,3.39
2017-11-30,341.75,3.4175
2017-12-01,344.75,3.4475
2017-12-04,339.5,3.395
2017-12-05,339.75,3.3975
2017-12-06,339.25,3.3925
2017-12-07,338.75,3.3875
2017-12-08,340,3.4
2017-12-11,336.5,3.365
2017-12-12,335.75,3.3575
2017-12-13,336.75,3.3675
2017-12-14,336.25,3.3625
2017-12-15,347.5,3.475
2017-12-18,347,3.47
2017-12-19,347.5,3.475
2017-12-20,349.25,3.4925
2017-12-21,351.25,3.5125
2017-12-22,352,3.52
2017-12-26,352.75,3.5275
2017-12-27,353.75,3.5375
2017-12-28,352,3.52
2017-12-29,350.75,3.5075
2018-01-02,353.25,3.5325
2018-01-03,353,3.53
2018-01-04,351,3.51
2018-01-05,351.25,3.5125
2018-01-08,347.25,3.4725
2018-01-09,349,3.49
2018-01-10,349,3.49
2018-01-11,348.75,3.4875
2018-01-12,346.25,3.4625
2018-01-16,348.25,3.4825
2018-01-17,353,3.53
2018-01-18,351.5,3.515
2018-01-19,352.5,3.525
2018-01-22,352,3.52
2018-01-23,351.25,3.5125
2018-01-24,356.5,3.565
2018-01-25,355.25,3.5525
2018-01-26,356.5,3.565
2018-01-29,358.75,3.5875
2018-01-30,361.5,3.615
2018-01-31,361.5,3.615
2018-02-01,361.75,3.6175
2018-02-02,361.5,3.615
2018-02-05,358.75,3.5875
2018-02-06,363.5,3.635
2018-02-07,365.25,3.6525
2018-02-08,365.75,3.6575
2018-02-09,362,3.62
2018-02-12,367,3.67
2018-02-13,366.75,3.6675
2018-02-14,367.25,3.6725
2018-02-15,367.75,3.6775
2018-02-16,367.5,3.675
2018-02-20,365.5,3.655
2018-02-21,365.75,3.6575
2018-02-22,366.75,3.6675
2018-02-23,366.25,3.6625
2018-02-26,368.5,3.685
2018-02-27,370.5,3.705
2018-02-28,374.5,3.745
2018-03-01,378.75,3.7875
2018-03-02,377.25,3.7725
2018-03-05,378.25,3.7825
2018-03-06,379.75,3.7975
2018-03-07,379.25,3.7925
2018-03-08,385.75,3.8575
2018-03-09,383,3.83
2018-03-12,384.25,3.8425
2018-03-13,385.5,3.855
2018-03-14,383.5,3.835
2018-03-15,386.75,3.8675
2018-03-16,382.75,3.8275
2018-03-19,375,3.75
2018-03-20,374.5,3.745
2018-03-21,375,3.75
2018-03-22,376,3.76
2018-03-23,377.25,3.7725
2018-03-26,374,3.74
2018-03-27,374,3.74
2018-03-28,373.5,3.735
2018-03-29,387.75,3.8775
2018-04-02,387.25,3.8725
2018-04-03,388.5,3.885
2018-04-04,381,3.81
2018-04-05,389.5,3.895
2018-04-06,388.5,3.885
2018-04-09,390.75,3.9075
2018-04-10,389.25,3.8925
2018-04-11,387,3.87
2018-04-12,388.75,3.8875
2018-04-13,386.25,3.8625
2018-04-16,382.5,3.825
2018-04-17,380.25,3.8025
2018-04-18,383,3.83
2018-04-19,382,3.82
2018-04-20,376.5,3.765
2018-04-23,378.5,3.785
2018-04-24,381.25,3.8125
2018-04-25,386.5,3.865
2018-04-26,386,3.86
2018-04-27,389.5,3.895
2018-04-30,392.5,3.925
2018-05-01,396.75,3.9675
2018-05-02,396,3.96
2018-05-03,399.5,3.995
2018-05-04,398.75,3.9875
2018-05-07,393.25,3.9325
2018-05-08,395.5,3.955
2018-05-09,394.75,3.9475
2018-05-10,394.75,3.9475
2018-05-11,389.75,3.8975
2018-05-14,389,3.89
2018-05-15,402.25,4.0225
2018-05-16,399.25,3.9925
2018-05-17,395.25,3.9525
2018-05-18,402.5,4.025
2018-05-21,402.75,4.0275
2018-05-22,404.75,4.0475
2018-05-23,408.5,4.085
2018-05-24,404.25,4.0425
2018-05-25,406,4.06
2018-05-29,400,4
2018-05-30,393.5,3.935
2018-05-31,394,3.94
2018-06-01,391.5,3.915
2018-06-04,380.75,3.8075
2018-06-05,383.75,3.8375
2018-06-06,378.25,3.7825
2018-06-07,376.25,3.7625
2018-06-08,377.75,3.7775
2018-06-11,367.25,3.6725
2018-06-12,377.5,3.775
2018-06-13,376,3.76
2018-06-14,363,3.63
2018-06-15,361.25,3.6125
2018-06-18,356,3.56
2018-06-19,353.75,3.5375
2018-06-20,354.25,3.5425
2018-06-21,357,3.57
2018-06-22,357.25,3.5725
2018-06-25,350.5,3.505
2018-06-26,352.5,3.525
2018-06-27,352.5,3.525
2018-06-28,345,3.45
2018-06-29,350.25,3.5025
2018-07-02,337.5,3.375
2018-07-03,342.75,3.4275
2018-07-05,343.5,3.435
2018-07-06,351.75,3.5175
2018-07-09,345.75,3.4575
2018-07-10,339.75,3.3975
2018-07-11,331.25,3.3125
2018-07-12,336.5,3.365
2018-07-13,330.25,3.3025
2018-07-16,341.75,3.4175
2018-07-17,346.25,3.4625
2018-07-18,347.25,3.4725
2018-07-19,351.25,3.5125
2018-07-20,355.25,3.5525
2018-07-23,357.25,3.5725
2018-07-24,352,3.52
2018-07-25,359.25,3.5925
2018-07-26,361.5,3.615
2018-07-27,362,3.62
2018-07-30,367.25,3.6725
2018-07-31,372.25,3.7225
2018-08-01,365,3.65
2018-08-02,366.75,3.6675
2018-08-03,369.75,3.6975
2018-08-06,371,3.71
2018-08-07,370.75,3.7075
2018-08-08,371.25,3.7125
2018-08-09,369.25,3.6925
2018-08-10,357.75,3.5775
2018-08-13,356.5,3.565
2018-08-14,362.25,3.6225
2018-08-15,361.5,3.615
2018-08-16,365.25,3.6525
2018-08-17,364.25,3.6425
2018-08-20,362,3.62
2018-08-21,359.75,3.5975
2018-08-22,352.5,3.525
2018-08-23,346.75,3.4675
2018-08-24,348.5,3.485
2018-08-27,346.75,3.4675
2018-08-28,341,3.41
2018-08-29,341.25,3.4125
2018-08-30,341,3.41
2018-08-31,351,3.51
2018-09-04,354.5,3.545
2018-09-05,351.75,3.5175
2018-09-06,353.5,3.535
2018-09-07,354.25,3.5425
2018-09-10,355.5,3.555
2018-09-11,355.25,3.5525
2018-09-12,341.5,3.415
2018-09-13,336.25,3.3625
2018-09-14,337,3.37
2018-09-17,348,3.48
